NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	Methylations	Demethylations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	0.000013	0.000000	0	0	0	0
3	1	-1	-1	1.001219	0	0	0	3	1.000000	0.000013	0.000000	0	0	0	0
6	1	-1	-1	2.071308	0	0	0	6	1.000000	0.000013	0.000000	0	0	0	0
14	1	-1	-1	3.191410	0	0	0	14	1.000000	0.000013	0.000000	0	0	0	0
35	1	-1	-1	4.202815	0	0	0	35	1.000000	0.000013	0.000000	0	0	0	0
57	1	-1	-1	5.218250	0	0	0	57	1.000000	0.000013	0.000000	0	0	0	0
95	1	-1	-1	6.218996	0	0	0	95	1.000000	0.000013	0.000000	0	0	0	0
108	1	-1	-1	7.227179	0	0	0	108	1.000000	0.000013	0.000000	0	0	0	0
120	1	-1	-1	8.227235	0	0	0	120	1.000000	0.000013	0.000000	0	0	0	0
124	1	-1	-1	9.229924	0	0	0	124	1.000000	0.000013	0.000000	0	0	0	0
127	1	-1	-1	10.234696	0	0	0	127	1.000000	0.000013	0.000000	0	0	0	0
127	1	-1	-1	11.238700	0	0	0	127	1.000000	0.000013	0.000000	0	0	0	0
128	1	-1	-1	12.257356	0	0	0	128	1.000000	0.000013	0.000000	0	0	0	0
129	1	-1	-1	13.262253	0	0	0	129	1.000000	0.000013	0.000000	0	0	0	0
129	1	-1	-1	14.276958	0	0	0	129	1.000000	0.000013	0.000000	0	0	0	0
129	1	-1	-1	15.277655	0	0	0	129	1.000000	0.000013	0.000000	0	0	0	0
129	1	-1	-1	16.281576	0	0	0	129	1.000000	0.000013	0.000000	0	0	0	0
129	1	-1	-1	17.284317	0	0	0	129	1.000000	0.000013	0.000000	0	0	0	0
129	1	-1	-1	18.290350	0	0	0	129	1.000000	0.000013	0.000000	0	0	0	0
129	1	-1	-1	19.290379	0	0	0	129	1.000000	0.000013	0.000000	0	0	0	0
159	1	-1	-1	20.290854	0	0	0	159	1.000000	0.000013	0.000000	0	0	0	0
257	1	-1	-1	21.291044	0	0	0	257	1.000000	0.000013	0.000000	0	0	0	0
257	1	-1	-1	22.292570	0	0	0	257	1.000000	0.000013	0.000000	0	0	0	0
257	1	-1	-1	23.294548	0	0	0	257	1.000000	0.000013	0.000000	0	0	0	0
257	1	-1	-1	24.295822	0	0	0	257	1.000000	0.000013	0.000000	0	0	0	0
257	1	-1	-1	25.298294	0	0	0	257	1.000000	0.000013	0.000000	0	0	0	0
317	1	-1	-1	26.301125	0	0	0	317	1.000000	0.000013	0.000000	0	0	0	0
385	1	-1	-1	27.308372	0	0	0	385	1.000000	0.000013	0.000000	0	0	0	0
385	1	-1	-1	28.310503	0	0	0	385	1.000000	0.000013	0.000000	0	0	0	0
513	1	-1	-1	29.311079	0	0	0	513	1.000000	0.000013	0.000000	0	0	0	0
513	1	-1	-1	30.313026	0	0	0	513	1.000000	0.000013	0.000000	0	0	0	0
717	1	-1	-1	31.313366	0	0	0	717	1.000000	0.000013	0.000000	0	0	0	0
826	1	-1	-1	32.314487	0	0	0	826	1.000000	0.000013	0.000000	0	0	0	0
1095	1	-1	-1	33.314552	0	0	0	1095	1.000000	0.000013	0.000000	0	0	0	0
1236	1	-1	-1	34.315132	0	0	0	1236	1.000000	0.000013	0.000000	0	0	0	0
1405	1	-1	-1	35.317398	0	0	0	1405	1.000000	0.000013	0.000000	0	0	0	0
1494	1	-1	-1	36.318020	0	0	0	1494	1.000000	0.000013	0.000000	0	0	0	0
1739	1	-1	-1	37.318779	0	0	0	1739	1.000000	0.000013	0.000000	0	0	0	0
2096	1	-1	-1	38.318958	0	0	0	2096	1.000000	0.000013	0.000000	0	0	0	0
2305	1	-1	-1	39.319523	0	0	0	2305	1.000000	0.000013	0.000000	0	0	0	0
2729	1	-1	-1	40.319614	0	0	0	2729	1.000000	0.000013	0.000000	0	0	0	0
3353	1	-1	-1	41.320084	0	0	0	3353	1.000000	0.000013	0.000000	0	0	0	0
3907	1	-1	-1	42.320175	0	0	0	3907	1.000000	0.000013	0.000000	0	0	0	0
4700	1	-1	-1	43.320175	0	0	0	4700	1.000000	0.000013	0.000000	0	0	0	0
5080	1	-1	-1	44.320652	0	0	0	5080	1.000000	0.000013	0.000000	0	0	0	0
5934	1	-1	-1	45.320877	0	0	0	5934	1.000000	0.000013	0.000000	0	0	0	0
6919	1	-1	-1	46.320889	0	0	0	6919	1.000000	0.000013	0.000000	0	0	0	0
8192	1	-1	-1	47.320904	0	0	0	8192	1.000000	0.000013	0.000000	0	0	0	0
9218	1	-1	-1	48.320911	0	0	0	9217	1.000000	0.000013	0.000000	0	0	0	0
10722	1	-1	-1	49.321003	0	0	0	10722	1.000000	0.000013	0.000000	0	0	0	0
12559	1	-1	-1	50.321033	0	0	0	12559	1.000000	0.000013	0.000000	0	0	0	0
13756	1	-1	-1	50.867428	0	0	0	13755	1.000000	0.000013	0.000000	0	0	0	0
